sample,"(0,0)","(0,1)","(0,2)","(0,3)","(0,4)","(1,0)","(1,1)","(1,2)","(1,3)","(1,4)","(2,0)","(2,1)","(2,2)","(2,3)","(2,4)","(3,0)","(3,1)","(3,2)","(3,3)","(3,4)","(4,0)","(4,1)","(4,2)","(4,3)","(4,4)"
blank,0.73463,0.73001,0.66613,0.67132,0.75751,0.77884,0.687,0.67928,0.75162,0.68486,0.77479,0.70607,0.76692,0.6971,0.73903,0.79786,0.81805,0.764,0.85201,0.69957,0.88685,0.90483,0.87959,0.8647,0.86609
1331,0.73274,0.7321,0.73677,0.78589,0.78752,0.72357,0.74854,0.83122,0.94082,0.84137,0.73451,0.75519,0.84954,0.81523,0.82411,1.02823,1.07461,0.91825,0.94187,0.84973,1.1615,1.20234,1.16173,1.07332,1.09144
1332,1.16614,1.07128,0.96466,0.9017,1.05366,1.22807,1.07354,0.91177,0.86439,0.97635,0.96479,0.92337,0.90222,0.78072,1.036,0.63427,0.62026,0.63873,0.66147,0.70694,0.61091,0.64819,0.60443,0.60825,0.53327
1335,0.73463,0.77446,0.72098,0.70762,0.68603,0.7967,0.693,0.72342,0.82441,0.73031,0.83291,0.81321,0.90907,0.89125,0.70935,1.02557,1.14304,1.06458,1.15366,0.96449,1.22022,1.29668,1.22225,1.18659,1.20137
1336,0.67173,0.68596,0.741,0.8025,0.8035,0.69814,0.67326,0.8013,0.86289,0.79627,0.83195,0.74572,0.83825,0.84867,0.70926,1.07923,1.11505,1.03408,1.10327,0.92832,1.23958,1.25495,1.24761,1.20813,1.23954
1337,0.72744,0.87424,0.92972,0.93875,0.80184,0.69006,0.81941,0.96351,1.05418,0.8959,0.93275,0.91778,1.02565,1.05403,0.88526,1.34576,1.43636,1.305,1.35675,1.15831,1.54907,1.60058,1.59211,1.5173,1.52706
1338,1.0643,0.95312,0.95147,0.96959,1.05812,1.1023,1.00456,0.99466,0.96926,1.0022,0.8602,0.86655,0.91938,0.77055,1.02382,0.62395,0.59087,0.60093,0.59612,0.6753,0.58773,0.61092,0.62818,0.66112,0.64514
1341,1.11092,1.04631,0.9199,0.93061,1.05454,1.16509,1.07556,0.969,0.989,1.05325,0.91493,0.89981,0.8803,0.80579,1.03873,0.63623,0.5855,0.65133,0.69147,0.70886,0.58013,0.59017,0.65067,0.71293,0.63766
1342,0.95664,0.86005,0.79634,0.84129,0.95577,0.95992,0.88563,0.87669,0.86865,0.91516,0.78465,0.76531,0.82731,0.7208,0.90215,0.72693,0.68961,0.66865,0.7285,0.71233,0.74977,0.75255,0.79014,0.80688,0.79683
1343,1.1837,1.04992,0.98561,0.92516,1.11545,1.2225,1.07977,0.96324,0.84182,0.99338,0.95438,0.93395,0.94733,0.78253,1.07289,0.60079,0.5345,0.63756,0.64901,0.72503,0.50035,0.51687,0.55617,0.63538,0.58619
1346,1.20415,1.04772,0.98829,1.011,1.16035,1.25855,1.11885,1.03358,1.00168,1.09874,0.93827,0.94328,0.94809,0.80137,1.10694,0.52671,0.46328,0.58254,0.59364,0.69994,0.42037,0.42203,0.4521,0.52379,0.49557
1347,1.27849,1.12629,1.07134,1.06467,1.23456,1.34636,1.18689,1.1095,1.06225,1.15713,1.05562,1.05796,1.07642,0.91478,1.16843,0.60106,0.47223,0.65592,0.676,0.76884,0.38681,0.34422,0.42037,0.57723,0.51427
1348,0.70615,0.72421,0.72723,0.71053,0.74313,0.7547,0.68508,0.6979,0.74309,0.7007,0.71326,0.68181,0.74321,0.69871,0.73391,0.89274,0.99407,0.85604,0.88625,0.78359,1.0753,1.15852,1.09962,1.00685,1.03844
1349,0.57392,0.72163,0.80869,0.86632,0.75748,0.62729,0.70452,0.84473,0.97312,0.82422,0.84472,0.80417,0.88467,0.91871,0.76145,1.20398,1.2835,1.16692,1.24714,1.03549,1.40041,1.45297,1.44806,1.3743,1.38893
